TOWN,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error
north reading,14892,14892.0,0.0,0.0
tisbury,3949,3949.0,0.0,0.0
acton,21924,21924.0,0.0,0.0
middleton,8987,8987.0,0.0,0.0
tyringham,327,327.0,0.0,0.0
hingham,22157,22157.0,0.0,0.0
wilmington,22325,22325.0,0.0,0.0
richmond,1475,1475.0,0.0,0.0
douglas,8471,8471.0,0.0,0.0
abington,15985,15985.0,0.0,0.0
chilmark,866,457.0,-409.0,47.22863741339492
southwick,9502,9502.0,0.0,0.0
yarmouth,23793,23793.0,0.0,0.0
alford,494,494.0,0.0,0.0
hanson,10209,10209.0,0.0,0.0
medway,12752,12752.0,0.0,0.0
west brookfield,3701,3701.0,0.0,0.0
new salem,990,990.0,0.0,0.0
chatham,6125,5288.0,-837.0,13.66530612244898
waltham,60632,60632.0,0.0,0.0
holbrook,10791,10791.0,0.0,0.0
holyoke,39880,39880.0,0.0,0.0
new ashford,228,228.0,0.0,0.0
new marlborough,1509,1509.0,0.0,0.0
montgomery,838,838.0,0.0,0.0
andover,33201,33201.0,0.0,0.0
east brookfield,2183,860.0,-1323.0,60.60467246907925
north attleborough,28712,28712.0,0.0,0.0
weymouth,53743,52292.0,-1451.0,2.699886496846101
westhampton,1607,1607.0,0.0,0.0
west boylston,7669,7669.0,0.0,0.0
spencer,11688,11688.0,0.0,0.0
gill,1500,2393.0,893.0,59.53333333333333
dennis,14207,13778.0,-429.0,3.019638206517914
leverett,1851,1851.0,0.0,0.0
phillipston,1682,1682.0,0.0,0.0
chelmsford,33802,33802.0,0.0,0.0
south hadley,17514,17514.0,0.0,0.0
williamsburg,2482,2482.0,0.0,0.0
brookfield,3390,3390.0,0.0,0.0
leicester,10970,10970.0,0.0,0.0
hinsdale,2032,2032.0,0.0,0.0
shrewsbury,35608,35608.0,0.0,0.0
provincetown,2942,2942.0,0.0,0.0
upton,7542,7542.0,0.0,0.0
billerica,40243,40243.0,0.0,0.0
rochester,5232,5232.0,0.0,0.0
harvard,6520,6520.0,0.0,0.0
rehoboth,11608,11608.0,0.0,0.0
shirley,7211,7211.0,0.0,0.0
buckland,1902,1902.0,0.0,0.0
hatfield,3279,3279.0,0.0,0.0
boxborough,4996,4996.0,0.0,0.0
holden,17346,17346.0,0.0,0.0
methuen,47255,47255.0,0.0,0.0
ashfield,1737,1737.0,0.0,0.0
swansea,15865,15865.0,0.0,0.0
springfield,153060,153060.0,0.0,0.0
bedford,13320,13320.0,0.0,0.0
ashland,16593,16593.0,0.0,0.0
monroe,121,0.0,-121.0,100.0
oakham,1902,1902.0,0.0,0.0
easthampton,16053,16053.0,0.0,0.0
north andover,28352,28352.0,0.0,0.0
norton,19031,19031.0,0.0,0.0
hampden,5139,5139.0,0.0,0.0
sunderland,3684,3684.0,0.0,0.0
leyden,711,1822.0,1111.0,156.25879043600563
huntington,2180,2180.0,0.0,0.0
dudley,11390,11390.0,0.0,0.0
brookline,58732,58732.0,0.0,0.0
west newbury,4235,4235.0,0.0,0.0
littleton,8924,8924.0,0.0,0.0
oak bluffs,4527,4527.0,0.0,0.0
rutland,7973,7973.0,0.0,0.0
mattapoisett,6045,6045.0,0.0,0.0
westport,15532,15532.0,0.0,0.0
haverhill,60879,60879.0,0.0,0.0
heath,706,1182.0,476.0,67.42209631728045
sudbury,17659,17659.0,0.0,0.0
rowley,5856,5856.0,0.0,0.0
whately,1496,1496.0,0.0,0.0
bourne,19754,19776.0,22.0,0.11136984914447706
washington,538,538.0,0.0,0.0
williamstown,7754,7754.0,0.0,0.0
shelburne,1893,1893.0,0.0,0.0
aquinnah,311,311.0,0.0,0.0
east longmeadow,15720,15720.0,0.0,0.0
southampton,5792,5792.0,0.0,0.0
gardner,20228,20228.0,0.0,0.0
raynham,13383,13383.0,0.0,0.0
rockport,6952,6952.0,0.0,0.0
weston,11261,11261.0,0.0,0.0
monson,8560,8560.0,0.0,0.0
sandisfield,915,915.0,0.0,0.0
erving,1800,1609.0,-191.0,10.61111111111111
monterey,961,961.0,0.0,0.0
west tisbury,2740,2740.0,0.0,0.0
townsend,8926,8926.0,0.0,0.0
winthrop,17497,17497.0,0.0,0.0
stockbridge,1947,1947.0,0.0,0.0
orleans,5890,5072.0,-818.0,13.887945670628183
ayer,7427,7427.0,0.0,0.0
oxford,13709,13709.0,0.0,0.0
pittsfield,44737,44737.0,0.0,0.0
hopkinton,14925,14925.0,0.0,0.0
russell,1775,1775.0,0.0,0.0
merrimac,6338,6338.0,0.0,0.0
northbridge,15707,15009.0,-698.0,4.443878525498185
blandford,1233,1233.0,0.0,0.0
holliston,13547,13547.0,0.0,0.0
greenfield,17456,17456.0,0.0,0.0
grafton,17765,17765.0,0.0,0.0
blackstone,9026,9026.0,0.0,0.0
medford,56173,56173.0,0.0,0.0
lowell,106519,106519.0,0.0,0.0
beverly,39502,39502.0,0.0,0.0
gloucester,28789,28789.0,0.0,0.0
chester,1337,1337.0,0.0,0.0
winchester,21374,21374.0,0.0,0.0
millville,3190,3190.0,0.0,0.0
bridgewater,26563,26563.0,0.0,0.0
tolland,485,485.0,0.0,0.0
canton,21561,21561.0,0.0,0.0
mashpee,14006,14004.0,-2.0,0.01427959445951735
lynnfield,11596,11596.0,0.0,0.0
barnstable,45193,45193.0,0.0,0.0
dover,5589,5589.0,0.0,0.0
mendon,5839,5839.0,0.0,0.0
hudson,19063,19063.0,0.0,0.0
westwood,14618,14618.0,0.0,0.0
holland,2481,2481.0,0.0,0.0
cambridge,105162,105162.0,0.0,0.0
walpole,24070,24070.0,0.0,0.0
berlin,2866,2866.0,0.0,0.0
sharon,17612,17612.0,0.0,0.0
lynn,90329,89150.0,-1179.0,1.3052286641056583
norwood,28602,28602.0,0.0,0.0
everett,41667,41667.0,0.0,0.0
wales,1838,1838.0,0.0,0.0
hopedale,5911,5911.0,0.0,0.0
topsfield,6085,6089.0,4.0,0.0657354149548069
somerville,75754,75754.0,0.0,0.0
pembroke,17837,17837.0,0.0,0.0
duxbury,15059,14069.0,-990.0,6.574141709276844
boxford,7965,7961.0,-4.0,0.050219711236660386
boston,617594,616852.0,-742.0,0.12014365424534565
