city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18
COHASSET,2,0,1,0,0,6914.714285714286,7086.142857142857,7257.571428571428,7429,7600.428571428572
COLRAIN,0,0,0,0,0,1167,1160,1153,1146,1139
CONCORD,1,3,2,3,4,18633.14285714286,18874.428571428572,19115.714285714286,19357,19598.285714285714
CONWAY,0,0,0,0,0,1841.5714285714287,1827.7142857142858,1813.857142857143,1800,1786.142857142857
CUMMINGTON,0,0,0,0,0,865.1428571428571,863.4285714285714,861.7142857142857,860,858.2857142857143
DALTON,0,0,1,0,0,6699.428571428572,6685.285714285715,6671.142857142857,6657,6642.857142857143
DANVERS,3,7,3,3,4,27083.85714285714,27231.571428571428,27379.285714285714,27527,27674.714285714286
DARTMOUTH,3,3,7,3,4,34208.57142857143,34252.71428571428,34296.857142857145,34341,34385.142857142855
DEDHAM,2,2,4,0,6,25099.285714285714,25191.85714285714,25284.428571428572,25377,25469.571428571428
DEERFIELD,0,0,0,0,0,5081.571428571428,5070.714285714285,5059.857142857143,5049,5038.142857142857
DENNIS,4,3,4,2,2,13792.857142857143,13796.57142857143,13800.285714285714,13804,13807.714285714286
DIGHTON,0,0,2,1,1,7287.142857142857,7337.428571428572,7387.714285714285,7438,7488.285714285715
DOUGLAS,0,2,2,1,1,8614.42857142857,8650.285714285714,8686.142857142857,8722,8757.857142857143
DOVER,0,0,0,0,0,5779.285714285715,5826.857142857143,5874.428571428572,5922,5969.571428571428
DRACUT,3,7,4,3,7,30403.285714285714,30639.85714285714,30876.428571428572,31113,31349.571428571428
DUDLEY,1,1,1,1,3,11531.142857142857,11566.42857142857,11601.714285714286,11637,11672.285714285714
DUNSTABLE,0,0,0,0,0,3269.285714285714,3291.8571428571427,3314.4285714285716,3337,3359.5714285714284
DUXBURY,0,0,2,0,0,14393.57142857143,14474.714285714286,14555.857142857143,14637,14718.142857142857
EAST BRIDGEWATER,0,0,1,1,3,14684.285714285714,14742.857142857143,14801.42857142857,14860,14918.57142857143
EAST BROOKFIELD,0,0,0,0,0,914.8571428571429,928.5714285714286,942.2857142857143,956,969.7142857142857
EAST LONGMEADOW,0,1,1,2,0,15969.142857142857,16031.42857142857,16093.714285714286,16156,16218.285714285714
EASTHAM,2,1,0,1,0,4928.571428571428,4921.714285714285,4914.857142857143,4908,4901.142857142857
EASTHAMPTON,2,1,2,2,4,16051.857142857143,16051.57142857143,16051.285714285714,16051,16050.714285714286
EASTON,4,4,3,3,4,23620,23747,23874,24001,24128
EDGARTOWN,0,0,0,0,1,4195.571428571428,4227.714285714285,4259.857142857143,4292,4324.142857142857
ERVING,0,0,0,0,0,1545.5714285714287,1529.7142857142858,1513.857142857143,1498,1482.142857142857
ESSEX,0,0,0,0,0,3608.5714285714284,3634.714285714286,3660.8571428571427,3687,3713.1428571428573
EVERETT,35,43,40,34,28,43692.71428571428,44199.142857142855,44705.57142857143,45212,45718.42857142857
FAIRHAVEN,1,5,5,4,3,15961,15983,16005,16027,16049
FALL RIVER,49,43,85,64,67,85311.42857142857,85390.28571428571,85469.14285714286,85548,85626.85714285714
FALMOUTH,14,17,18,21,9,30838.714285714286,30793.14285714286,30747.571428571428,30702,30656.428571428572
FITCHBURG,8,10,11,16,11,40516.857142857145,40566.57142857143,40616.28571428572,40666,40715.71428571428
FLORIDA,0,0,0,0,0,788.5714285714286,797.7142857142857,806.8571428571429,816,825.1428571428571
FOXBOROUGH,1,1,5,1,3,17198.14285714286,17281.428571428572,17364.714285714286,17448,17531.285714285714
FRAMINGHAM,13,17,20,14,25,69983.14285714286,70399.42857142857,70815.71428571429,71232,71648.28571428571
FRANKLIN,1,1,5,1,4,32325.285714285714,32497.85714285714,32670.428571428572,32843,33015.57142857143
FREETOWN,0,3,0,3,1,8168.857142857143,8203.57142857143,8238.285714285714,8273,8307.714285714286
GARDNER,5,7,10,9,23,20381.14285714286,20419.428571428572,20457.714285714286,20496,20534.285714285714
GEORGETOWN,0,1,1,1,1,8403.57142857143,8458.714285714286,8513.857142857143,8569,8624.142857142857
GILL,1,0,0,0,0,2475.285714285714,2495.8571428571427,2516.4285714285716,2537,2557.5714285714284
GLOUCESTER,3,11,9,17,16,29399.85714285714,29552.571428571428,29705.285714285714,29858,30010.714285714286
GOSHEN,1,0,0,0,0,1078,1084,1090,1096,1102
GOSNOLD,0,0,0,0,0,51.57142857142857,45.714285714285715,39.857142857142854,34,28.142857142857146
GRAFTON,1,2,0,0,2,18194.714285714286,18302.14285714286,18409.571428571428,18517,18624.428571428572
GRANBY,1,0,1,0,0,6284.571428571428,6295.714285714285,6306.857142857143,6318,6329.142857142857
GRANVILLE,0,0,0,0,0,1619.7142857142858,1633.142857142857,1646.5714285714287,1660,1673.4285714285713
GREAT BARRINGTON,2,1,1,0,0,6996,6969,6942,6915,6888
GREENFIELD,4,10,5,4,11,17466.285714285714,17468.85714285714,17471.428571428572,17474,17476.571428571428
GROTON,0,1,0,1,0,11009.42857142857,11100.285714285714,11191.142857142857,11282,11372.857142857143
GROVELAND,0,0,1,1,0,6595,6629,6663,6697,6731
HADLEY,1,0,2,0,1,5279.142857142857,5286.428571428572,5293.714285714285,5301,5308.285714285715
HALIFAX,0,0,0,1,2,7644.285714285715,7675.857142857143,7707.428571428572,7739,7770.571428571428
HAMILTON,0,0,1,0,1,7893.714285714285,7926.142857142857,7958.571428571428,7991,8023.428571428572
HAMPDEN,0,0,0,0,1,5169.857142857143,5177.571428571428,5185.285714285715,5193,5200.714285714285
HANCOCK,0,0,1,0,0,672.4285714285714,661.2857142857143,650.1428571428571,639,627.8571428571429
HANOVER,1,0,1,1,0,14135.57142857143,14199.714285714286,14263.857142857143,14328,14392.142857142857
HANSON,0,4,0,0,2,10409.57142857143,10459.714285714286,10509.857142857143,10560,10610.142857142857
HARDWICK,0,2,1,0,0,3009.4285714285716,3014.285714285714,3019.1428571428573,3024,3028.8571428571427
HARVARD,0,0,0,0,1,6532.571428571428,6535.714285714285,6538.857142857143,6542,6545.142857142857
HARWICH,0,3,1,1,1,12185.857142857143,12171.57142857143,12157.285714285714,12143,12128.714285714286
HATFIELD,2,1,0,1,0,3293.8571428571427,3297.5714285714284,3301.285714285714,3305,3308.714285714286
HAVERHILL,30,25,37,24,24,62058.42857142857,62353.28571428572,62648.142857142855,62943,63237.857142857145
HAWLEY,0,0,0,0,0,942.1428571428571,953.4285714285714,964.7142857142857,976,987.2857142857143
HEATH,0,0,0,0,0,1223.7142857142858,1234.142857142857,1244.5714285714287,1255,1265.4285714285713
HINGHAM,0,0,1,0,0,22665.571428571428,22792.714285714286,22919.85714285714,23047,23174.14285714286
HINSDALE,1,0,0,0,0,1996.5714285714287,1987.7142857142858,1978.857142857143,1970,1961.142857142857
HOLBROOK,2,3,1,5,4,10927,10961,10995,11029,11063
HOLDEN,2,1,2,0,1,18038.571428571428,18211.714285714286,18384.85714285714,18558,18731.14285714286
HOLLAND,0,0,0,0,0,2497.5714285714284,2501.714285714286,2505.8571428571427,2510,2514.1428571428573
HOLLISTON,0,1,1,0,1,14080.142857142857,14213.42857142857,14346.714285714286,14480,14613.285714285714
HOLYOKE,14,13,13,16,29,40155.42857142857,40224.28571428572,40293.142857142855,40362,40430.857142857145
HOPEDALE,0,0,2,0,1,5936.142857142857,5942.428571428572,5948.714285714285,5955,5961.285714285715
HOPKINTON,1,3,1,3,3,15950.714285714286,16207.142857142857,16463.571428571428,16720,16976.428571428572
HUBBARDSTON,1,0,0,0,1,4495.714285714285,4524.142857142857,4552.571428571428,4581,4609.428571428572
HUDSON,0,4,2,2,3,19508.714285714286,19620.14285714286,19731.571428571428,19843,19954.428571428572
