uniq_name,absenteeism,air_pollution_-_particulate_matter,binge_drinking,breast_cancer_deaths,cardiovascular_disease_deaths,children_in_poverty,colorectal_cancer_deaths,dental_care,diabetes,frequent_mental_distress,frequent_physical_distress,high_blood_pressure,high_school_graduation,"housing_cost,_excessive",housing_with_potential_lead_risk,income_inequality,lead_exposure_risk_index,life_expectancy,limited_access_to_healthy_foods,low_birthweight,neighborhood_racial/ethnic_segregation,obesity,opioid_overdose_deaths,park_access,physical_inactivity,premature_deaths_(all_causes),prenatal_care,preventive_services,racial/ethnic_diversity,smoking,teen_births,third-grade_reading_proficiency,unemployment,uninsured,violent_crime,walkability
NY_Albany,28.6,8.1,18.5,26.8,229.1,30.5,14.3,63.7,9.4,13.4,11.6,28.9,69.2,41.5,45.0,-20.3,10.0,78.1,68.1,,14.4,31.0,15.6,56.3,24.6,8100.0,,34.4,78.8,19.5,,23.2,7.1,8.0,890.0,64.9
NY_Buffalo,43.3,9.6,18.5,27.6,244.7,47.2,16.9,58.0,13.3,15.5,15.8,36.1,67.1,38.2,53.2,-32.3,10.0,74.8,44.3,10.9,29.2,36.4,39.5,90.4,32.2,11300.0,73.9,28.8,77.2,24.0,38.0,21.3,8.8,7.1,1008.2,67.8
NY_Mount Vernon,33.5,9.7,15.6,23.4,201.4,20.3,17.7,60.4,12.9,12.6,13.5,35.6,60.8,52.1,45.1,-6.4,9.0,79.9,14.7,,16.3,30.5,7.6,99.0,30.3,5900.0,,29.6,63.9,17.6,,34.5,8.7,11.3,640.6,76.0
NY_New Rochelle,22.3,9.7,18.0,21.8,186.2,14.2,9.1,67.7,9.8,10.9,11.5,28.7,78.6,45.7,40.4,13.1,8.0,81.8,24.8,,13.5,23.8,10.3,91.0,25.7,3900.0,,34.8,78.6,14.1,,45.5,7.3,12.2,229.5,67.3
NY_New York,18.7,9.7,18.9,21.6,227.2,27.8,14.8,63.2,11.3,12.3,12.2,28.4,75.1,46.1,39.6,-4.1,9.0,80.6,4.6,8.3,34.3,24.8,10.7,98.7,28.0,5200.0,78.2,27.7,89.0,16.3,14.5,44.8,7.8,11.1,548.7,89.2
NY_Rochester,41.8,7.9,16.7,29.2,320.3,51.9,23.2,57.2,12.0,16.4,15.5,31.4,57.5,45.9,46.5,-34.6,10.0,76.7,51.4,11.4,21.7,38.9,29.0,78.1,31.8,11900.0,76.7,31.1,77.6,24.2,38.3,14.1,12.0,8.2,890.2,64.6
NY_Schenectady,60.3,8.1,18.9,17.2,238.8,36.7,8.7,58.8,11.0,15.5,15.0,31.2,59.2,38.8,48.8,-23.0,10.0,77.2,53.4,,8.9,31.8,21.2,56.8,28.6,9700.0,,30.9,79.3,23.7,,24.5,9.3,8.9,880.2,63.7
NY_Syracuse,29.4,7.2,18.4,22.5,266.3,46.8,15.2,55.0,12.0,15.9,14.8,28.8,59.9,39.7,43.6,-31.4,10.0,76.9,45.0,9.8,17.0,35.8,35.9,75.9,30.4,11300.0,72.1,31.5,78.1,23.9,21.5,17.0,10.5,8.1,699.0,60.8
NY_Yonkers,17.9,9.8,17.1,20.2,175.9,25.3,12.3,63.0,10.8,12.0,13.0,29.6,82.2,44.0,36.5,-1.2,9.0,81.0,23.3,9.3,15.0,25.5,15.6,88.0,29.2,5300.0,76.2,33.4,80.0,15.9,13.7,37.2,8.0,11.3,405.6,70.6
OH_Akron,27.3,12.1,15.4,27.3,243.8,35.9,22.0,54.3,12.7,15.6,15.2,36.5,76.5,35.4,37.6,-29.2,10.0,75.0,69.0,11.0,21.7,35.7,58.9,72.9,32.4,13200.0,67.4,26.3,59.2,26.2,36.2,23.3,9.5,11.8,693.7,45.2
